"MATCH_ID","SEASON_ID","SEASON_MATCH","PLAY_OFF_ID","DATE_ID","REFEREE_ID","TV_UMPIRE_ID","UMPIRE_ID1","UMPIRE_ID2","TEAM_A_ID","TEAM_B_ID","VENUE_ID","MATCH_TYPE_ID","TOTAL_OVERS","BALLS_PER_OVER","OVERS_PLAYED_BY_TEAM_A","BOWLS_PLAYED_BY_TEAM_A","EXTRA_BOWLS_PLAYED_BY_TEAM_A","EXTRA_RUNS_SCORED_BY_TEAM_A","FOURS_BY_TEAM_A","SIXES_BY_TEAM_A","TOTAL_SCORE_BY_TEAM_A","WICKET_LOST_BY_TEAM_A","OVERS_PLAYED_BY_TEAM_B","BOWLS_PLAYED_BY_TEAM_B","EXTRA_BOWLS_PLAYED_BY_TEAM_B","EXTRA_RUNS_SCORED_BY_TEAM_B","FOURS_BY_TEAM_B","SIXES_BY_TEAM_B","TOTAL_SCORE_BY_TEAM_B","WICKET_LOST_BY_TEAM_B","TOSS_WINNER_TEAM_ID","TOSS_DECISION","MATCH_RESULT","WINNER_TEAM_ID"
461,8,3,3,2549,9,29,18,33,7,14,21,1,20,6,19,127,9,9,14,3,136,8,19,128,21,21,10,7,162,7,7,"Field","Result Declared",14
482,8,24,3,2564,1,32,14,30,1,7,19,1,20,6,19,126,12,12,19,7,192,3,19,122,8,8,5,2,95,9,1,"Bat","Result Declared",1
647,11,11,3,3650,14,63,30,10,14,17,18,1,20,6,19,128,14,14,14,14,217,4,19,123,6,6,20,7,198,6,17,"Field","Result Declared",14
726,12,30,3,4014,18,34,54,32,3,19,28,1,20,6,19,124,9,9,14,4,155,7,18,117,5,5,8,2,116,10,19,"Field","Result Declared",3
753,12,\\N,4,4037,1,64,16,20,1,11,19,1,20,6,19,124,5,5,10,4,131,4,18,113,8,8,15,1,132,4,1,"Bat","Result Declared",11
782,13,26,3,4560,21,59,47,12,19,14,10,1,20,6,19,123,3,3,6,9,158,4,19,121,6,6,12,6,163,5,19,"Bat","Result Declared",14
797,13,41,3,4572,18,56,30,15,1,11,33,1,20,6,19,125,12,12,9,3,114,9,12,74,2,2,11,7,116,0,11,"Field","Result Declared",11
709,12,13,3,4001,18,25,54,33,7,3,27,1,20,6,19,124,9,9,17,5,166,9,19,121,11,11,17,3,152,10,3,"Field","Result Declared",7
734,12,38,3,4021,7,64,16,20,9,19,28,1,20,6,19,124,5,5,11,8,159,8,14,94,6,6,10,9,161,1,19,"Field","Result Declared",19
760,13,4,3,4541,18,61,30,15,14,1,33,1,20,6,19,128,9,9,9,17,216,7,19,124,5,5,9,16,200,6,1,"Field","Result Declared",14
572,9,55,3,2957,1,35,46,57,9,19,11,1,20,6,19,123,4,4,13,5,171,6,19,124,11,11,9,6,149,8,19,"Field","Result Declared",9
650,11,14,3,3652,1,61,20,61,11,17,39,1,20,6,19,127,17,17,18,13,213,6,19,124,7,7,12,7,167,8,17,"Field","Result Declared",11
